time,ax,ay,az,aT
2.4040,-1.0867,2.1280,3.0374,3.865
2.4210,-0.9250,3.5607,1.9046,4.143
2.4410,-0.9666,2.9809,2.3343,3.908
2.4600,-0.0947,1.8032,2.9655,3.472
2.4800,-0.2815,0.8646,3.4822,3.599
2.4990,-0.4794,0.4900,2.3785,2.475
2.5180,-0.6680,0.7893,0.1483,1.045
2.5380,-1.6518,0.6093,-1.0873,2.069
2.5570,-2.1882,0.5579,-1.2584,2.585
2.5760,-1.2001,-0.3916,0.8050,1.497
2.5960,0.2941,-1.0743,2.5791,2.809
2.6150,0.5761,-1.7329,2.0862,2.773
2.6340,0.1748,-2.6480,0.2060,2.662
2.6540,1.1225,-5.0308,-2.7426,5.839
2.6740,3.6482,-9.7929,-6.7631,12.448
2.6930,0.0467,-10.7315,-5.9687,12.280
2.7130,-3.1971,-3.5308,-6.1741,7.798
2.7320,-1.8139,0.6260,-4.8240,5.192
2.7510,-0.2947,1.5826,-3.8239,4.149
2.7710,0.1505,1.4158,-2.8712,3.205
2.7900,0.7258,0.5072,-2.4429,2.598
2.8090,1.5323,0.3287,-1.8143,2.397
2.8280,1.9201,1.3775,-0.2966,2.382
2.8480,1.0285,2.5948,-0.0290,2.791
2.8670,0.4769,3.5263,-0.9971,3.695
2.8870,-0.0492,4.4079,-1.8815,4.793
2.9060,-0.7210,4.3444,0.0127,4.404
2.9250,-0.9797,3.0714,2.6071,4.146
2.9450,-2.5675,2.5872,5.6690,6.740
2.9640,-3.0447,1.8577,7.2564,8.086
2.9840,-3.1235,1.1495,5.6759,6.580
3.0030,-3.8086,1.7038,3.9634,5.755
3.0220,-2.8364,1.5453,0.6708,3.299
3.0420,-2.0674,1.3543,-0.4333,2.509
3.0610,-0.1491,0.6068,-1.1021,1.267
3.0810,0.7509,-0.7191,0.7951,1.309
3.1010,0.9536,-1.6474,2.2515,2.948
3.1190,0.9490,-2.2920,1.2867,2.795
3.1390,2.9154,-3.1895,-0.6296,4.367
3.1580,3.7876,-2.8583,-2.4065,5.320
3.1780,2.7145,-2.7958,-2.7362,4.761
3.1970,4.2311,-4.3502,-4.5886,7.608
3.2160,3.4024,-4.2934,-4.8613,7.324
3.2360,0.2396,-2.8794,-4.6011,5.433
3.2550,0.6559,0.0890,-1.2813,1.442
3.2740,0.4914,2.9631,-0.5902,3.061
3.2940,-1.2880,3.5339,-0.9504,3.879
3.3130,-2.7065,2.2640,-0.6695,3.592
3.3330,-3.1861,1.8656,-0.6159,3.743
3.3520,-2.6686,0.7910,-0.0938,2.785
3.3720,-1.1772,0.5860,1.1874,1.772
3.3910,1.1075,0.9939,3.6055,3.900
3.4100,1.5316,2.6986,0.7510,3.193
3.4300,-0.4819,3.3009,2.1491,3.968
3.4490,-1.5225,2.1585,2.1479,3.405
3.4690,-2.9394,1.1507,2.7958,4.217
3.4880,-3.9660,0.5094,2.6523,4.798
3.5100,-3.5469,0.3440,3.5248,5.012
3.5350,-2.1331,0.8530,1.0954,2.545
3.5460,-2.9721,0.5486,0.2085,3.029
3.5660,-3.0789,-0.2732,1.0832,3.275
3.5850,-2.5572,-0.8133,0.1227,2.686
3.6050,-1.9158,-0.6084,-0.7116,2.132
3.6240,-0.5032,0.5603,-2.1055,2.236
3.6440,1.5662,0.9417,-2.9211,3.446
3.6660,2.8397,2.1949,-1.5900,3.925
3.6910,2.6657,0.7524,-4.2178,5.046
3.7010,1.6520,-1.0275,-6.5661,6.848
3.7210,1.6486,-1.8963,-5.6486,6.182
3.7410,2.6953,-2.1538,-2.8899,4.501
3.7630,3.3690,-2.4637,3.4125,5.391
3.7910,0.5257,-0.7591,1.4881,1.751
3.7990,-0.1567,0.2768,0.1616,0.357
3.8180,0.2832,1.4686,0.9795,1.788
3.8380,0.8949,1.7151,2.3474,3.042
3.8570,1.6308,1.6216,3.0517,3.821
3.8760,2.7447,0.1466,3.3892,4.364
3.8960,1.8485,-0.2816,2.5864,3.191
3.9160,0.1911,0.0359,1.8574,1.868
3.9340,-1.2827,0.6714,0.5518,1.549
3.9540,-1.8106,-0.1214,0.0617,1.816
3.9730,-2.8044,-0.9476,-0.8646,3.084
3.9930,-4.3532,-1.2926,-1.1714,4.690
4.0120,-4.6747,-0.2133,-0.3365,4.692
4.0310,-5.5229,2.6156,-0.5343,6.134
4.0510,-2.7245,2.6491,3.5364,5.191
4.0700,-0.9041,0.0540,1.6548,1.886
4.0890,0.1116,-1.6033,0.3210,1.639
4.1090,0.5694,-1.4496,0.4101,1.611
4.1280,0.5872,-0.7265,-0.1970,0.955
4.1470,1.5541,0.6561,-0.3043,1.714
4.1670,3.0408,1.8639,-1.2631,3.784
4.1860,3.4318,1.9593,-0.7921,4.030
4.2050,2.7150,0.8200,0.2426,2.846
4.2250,2.6092,-0.1607,0.1539,2.619
4.2440,3.3384,0.9826,0.5756,3.527
4.2640,3.8622,2.4683,1.3205,4.770
4.2830,4.5881,3.0612,1.3847,5.687
4.3020,5.1245,1.9027,0.7476,5.517
4.3220,4.3987,-0.3344,-0.2443,4.418
4.3410,2.7999,-1.4657,-0.6513,3.227
4.3610,0.6654,-3.5427,-1.5593,3.927
4.3800,0.6657,-3.9986,-0.6554,4.106
4.3990,0.6300,-4.4606,0.7887,4.573
4.4190,-0.1346,-4.5151,1.6333,4.803
4.4380,-2.9684,-1.9623,-0.3292,3.574
4.4580,-3.0845,-1.7756,-0.1661,3.563
4.4770,0.3421,-3.5981,-2.8864,4.625
4.4970,-3.7469,-1.1816,0.6551,3.983
4.5160,-6.9599,-2.9140,0.4347,7.558
4.5360,-4.0242,-3.1927,-1.4569,5.339
4.5550,-2.0455,-1.8557,-1.4681,3.128
4.5750,-1.8124,-0.7724,-0.6517,2.075
4.5940,-0.7641,-0.8040,-0.4340,1.191
4.6130,-2.4316,1.0214,1.1352,2.871
4.6320,-0.5601,2.3546,1.9894,3.133
4.6510,-0.2560,1.1365,0.4987,1.267
4.6710,1.2122,3.0747,-0.4332,3.333
4.6900,3.4704,3.6088,-1.7394,5.300
4.7100,2.9777,4.8421,-2.1693,6.084
4.7290,2.6371,3.3937,-4.1345,5.964
4.7490,3.1389,3.8272,-3.6187,6.131
4.7680,1.9707,4.2106,-1.1830,4.797
4.7870,1.2828,1.8813,-0.1471,2.282
4.8070,1.2903,-0.7120,-0.1954,1.487
4.8260,1.0154,-0.6629,1.8174,2.185
4.8450,1.1711,0.2672,2.7257,2.979
4.8650,1.0009,0.8084,3.8088,4.020
4.8840,0.1473,0.0556,4.0532,4.056
4.9040,-0.3562,0.0284,3.1617,3.182
4.9230,0.2917,0.6719,1.8522,1.992
4.9420,1.5459,-0.9350,-0.0104,1.807
4.9620,0.1153,-2.6947,-0.4748,2.739
4.9830,-1.7007,-3.5147,-0.0442,3.905
5.0010,-2.4585,-5.0532,0.0289,5.620
5.0200,-2.3813,-5.4720,0.6087,5.999
5.0390,-2.4114,-4.1217,0.4956,4.801
5.0590,-3.2881,-2.6682,0.4074,4.254
5.0780,-3.6784,-1.5315,-2.7586,4.846
5.0980,-4.2747,-0.5042,-1.5431,4.573
5.1170,-3.9286,-0.6695,-0.7088,4.048
5.1370,-3.4417,-0.4484,2.0155,4.014
5.1560,-1.1910,0.6521,2.5153,2.858
5.1750,3.0115,0.2714,0.4571,3.058
5.1950,5.1189,0.2343,-1.5008,5.340
5.2150,8.4784,-0.9953,-3.5368,9.240
5.2340,8.3158,1.5704,-2.4885,8.821
5.2530,7.4196,-1.4485,-2.6104,7.998
5.2720,6.4152,-1.8827,-1.5020,6.852
5.2920,5.5422,0.1180,-1.5786,5.764
5.3110,3.6789,2.0311,-1.5369,4.475
5.3300,-0.9783,3.5002,-0.8013,3.722
5.3500,-1.4764,3.0089,1.4069,3.635
5.3690,-1.7891,2.5641,3.9014,5.000
5.3890,-2.0316,-0.5834,3.7061,4.266
5.4080,-3.3904,-1.4787,3.2542,4.927
5.4270,-4.9046,-1.0580,4.7611,6.917
5.4470,-3.0007,-3.3144,2.4300,5.089
5.4680,-0.1866,-3.6489,-0.2983,3.666
5.4870,-0.7404,-0.0188,-0.1784,0.762
5.5070,-3.6601,1.3983,2.5075,4.652
5.5260,-5.8826,1.0008,-1.4968,6.152
5.5440,-4.3217,-0.9082,-1.2644,4.594
5.5640,-3.7596,-0.7167,-1.7214,4.197
5.5840,-3.2462,-1.6501,-1.9034,4.109
5.6020,-2.5573,-1.6883,-0.1523,3.068
5.6220,-1.1888,-0.2485,0.8632,1.490
5.6410,0.2922,1.2935,0.3060,1.361
5.6610,0.9139,1.2345,-0.6037,1.650
5.6800,1.8182,2.0719,-1.4820,3.130
5.6990,4.2143,1.5546,-1.1853,4.646
5.7190,4.1991,1.1090,-1.8792,4.732
5.7380,2.6711,4.2950,-2.5998,5.687
5.7580,4.2704,1.5503,-3.1546,5.531
5.7800,3.7557,1.0206,-2.6853,4.728
5.8150,2.6646,1.1506,-0.3711,2.926
5.8170,1.5949,0.7123,2.3362,2.917
5.8360,-0.9228,1.4175,1.2942,2.130
5.8550,-1.2486,1.9196,2.1180,3.119
5.8740,-0.0426,1.7743,4.4845,4.823
5.8940,1.3041,1.1890,3.8880,4.270
5.9130,1.9642,-0.0754,3.3916,3.920
5.9320,1.7249,-0.5329,3.3844,3.836
5.9650,1.2146,-0.2239,2.8904,3.143
5.9710,0.0815,-0.3658,2.0572,2.091
5.9910,-1.7900,-1.2901,-3.8070,4.400
6.0090,-1.7455,-2.6649,-2.9885,4.368
6.0320,-3.9120,-2.5278,1.5936,4.923
6.0660,-3.8015,-2.5834,1.2455,4.762
6.0680,-2.8278,-2.0203,1.0300,3.625
6.0880,-2.1738,-2.8109,1.3791,3.812
6.1060,-1.6357,-3.3646,0.8561,3.838
6.1270,-0.6428,-3.1593,0.6783,3.295
6.1450,-0.3836,-1.7251,1.1887,2.130
6.1650,0.0111,-0.1470,1.6444,1.651
6.1850,1.5771,0.1882,0.1142,1.592
6.2030,3.5220,0.7048,-2.2756,4.252
6.2230,3.9984,1.9172,-2.3460,5.017
6.2430,3.4140,1.2063,-3.4121,4.975
6.2620,2.5246,0.8999,-3.1696,4.151
6.2820,1.0311,-0.4804,-2.4984,2.745
6.3010,-0.8179,0.7241,-0.2380,1.118
6.3200,-1.2531,1.7422,0.0087,2.146
6.3390,-1.1014,2.3906,-1.4040,2.983
6.3590,0.4436,1.3352,-1.7339,2.233
6.3780,1.3396,-0.2314,-3.1176,3.401
6.3980,-0.8193,0.4499,0.4561,1.040
6.4180,-3.9972,-0.4796,3.1298,5.099
6.4370,-5.7188,-1.4301,3.4448,6.828
6.4580,-4.0413,-0.2582,4.3560,5.948
6.4750,-2.5968,-1.3400,3.1459,4.294
6.4960,-0.7532,-1.4280,1.0639,1.934
6.5140,0.6754,-0.9778,-0.1555,1.199
6.5340,-0.5903,-1.0917,0.4286,1.313
6.5530,-0.7118,-0.4125,2.0896,2.246
6.5720,-0.6977,0.0510,2.3929,2.493
6.5910,-1.4486,-0.8046,1.1232,2.002
6.6110,-1.9528,-1.3216,-0.6279,2.440
6.6310,0.0682,-1.7017,-0.7546,1.863
6.6500,1.4657,-1.0439,-0.8764,2.002
6.6690,-0.8809,-0.0745,-0.4799,1.006
6.6900,-1.6987,1.7240,0.0704,2.421
6.7210,-1.1103,2.7804,1.2096,3.229
6.7270,1.9277,1.9513,1.5024,3.127
6.7460,5.2709,0.3917,0.4271,5.303
6.7670,7.3538,-0.6363,-0.8743,7.433
6.7860,6.8920,0.3061,-1.6936,7.104
6.8060,5.2558,0.7826,-1.2514,5.459
6.8260,3.7893,0.4591,-0.5628,3.858
6.8510,2.9581,-0.2540,-0.2616,2.981
6.8630,3.0076,-1.2007,-0.5280,3.281
6.8820,2.9180,-1.5232,-0.2514,3.301
6.9020,2.1961,-1.1802,0.4127,2.527
6.9210,1.7935,-0.6610,0.4217,1.957
6.9410,1.1969,1.6886,0.9894,2.294
6.9610,0.2831,3.7474,1.3821,4.004
6.9830,-0.6210,3.7590,1.6454,4.150
6.9990,-1.2542,2.8799,2.3373,3.915
7.0180,-2.6167,1.2224,1.4793,3.245
7.0380,-4.2685,-0.5398,0.5078,4.332
7.0580,-4.4747,-1.1914,0.5310,4.661
7.0810,-4.1866,-1.7709,-0.2269,4.551
7.1060,-3.9311,-1.5809,-0.6509,4.287
7.1160,-3.2324,0.9042,-0.0507,3.357
7.1350,-2.7489,0.4770,0.3041,2.806
7.1540,-1.3254,-1.4502,0.2515,1.981
7.1730,0.1113,-2.8264,0.5042,2.873
7.1920,-0.0706,-1.8018,0.4338,1.855
7.2120,0.9152,0.2496,0.5973,1.121
7.2320,2.4048,2.1912,-0.4678,3.287
7.2510,4.1814,1.7022,-0.8335,4.591
7.2700,4.1034,0.2284,-0.1219,4.112
7.2900,2.7117,-0.1552,1.1481,2.949
7.3110,1.8577,0.0308,1.2104,2.217
7.3280,2.1594,1.3656,-0.2108,2.564
7.3480,4.0197,1.5369,-0.7053,4.361
7.3670,3.2024,1.2347,-1.2027,3.637
7.3870,1.1687,0.6612,-0.3222,1.381
7.4060,-0.8065,0.0324,-1.0065,1.290
7.4250,-0.9166,-0.0809,-1.0770,1.417
7.4450,-0.7244,-0.4107,0.0325,0.833
7.4650,-0.4083,0.0350,-0.4864,0.636
7.4840,-0.8248,0.7006,-0.7923,1.341
7.5080,-1.7535,1.6869,0.5904,2.504
7.5220,-2.9390,2.4947,1.5210,4.144
7.5420,-3.5679,2.7217,1.8456,4.852
7.5620,-3.3923,2.2720,1.5970,4.384
7.5820,-2.9562,1.8171,0.2956,3.483
7.6000,-3.7028,0.8164,-0.2736,3.802
7.6200,-4.1727,-0.0141,1.6673,4.494
7.6430,-4.1930,-0.0323,2.5501,4.908
7.6590,-3.0799,0.4216,2.6323,4.073
7.6780,-2.4006,-0.0519,3.9132,4.591
7.6980,-3.2012,-0.8267,2.9534,4.433
7.7170,-4.7927,-1.3778,3.1095,5.877
7.7370,-5.5482,-2.0735,-14.8033,15.944
7.7550,-2.1099,1.2736,-7.7219,8.106
7.7740,-0.6492,1.7352,-0.0814,1.854
7.7940,2.6368,-0.7229,0.2381,2.744
7.8140,2.5796,-1.7298,-3.1119,4.397
7.8340,0.3951,-2.4900,-3.3963,4.230
7.8530,0.2181,-0.9755,-3.2620,3.412
7.8720,1.2267,1.0741,-3.2074,3.598
7.8980,1.6668,2.7701,-3.9658,5.117
7.9260,1.1159,1.9375,-3.1794,3.887
7.9300,0.8258,0.5927,-2.1608,2.388
7.9500,0.5809,0.5809,-1.0824,1.359
