time,ax,ay,az,aT
2.3800,-0.4281,0.0210,2.5272,2.563
2.4250,-0.5205,0.0130,2.5542,2.607
2.4260,-0.5692,-0.1607,2.2544,2.331
2.4380,-0.5817,-0.3102,2.0815,2.183
2.4580,-0.7443,-0.0865,2.0126,2.148
2.4770,-0.5663,-0.1808,1.4825,1.597
2.4980,-0.8654,-0.1110,1.0790,1.388
2.5190,-0.9965,-0.5439,0.8736,1.432
2.5600,-1.0116,-0.7868,0.3062,1.318
2.5610,-0.6635,-0.9309,-0.0181,1.143
2.5730,0.1717,-1.6183,0.0100,1.627
2.5940,0.0932,-1.4179,-0.8960,1.680
2.6140,-0.2617,-0.7723,-2.2339,2.378
2.6330,-0.1925,-0.6459,-2.7119,2.794
2.6520,0.3254,-1.1049,-1.9339,2.251
2.6710,0.8931,-1.1533,-1.4373,2.048
2.7090,1.2781,-0.6330,-1.9236,2.395
2.7100,0.7083,0.4490,-2.5787,2.712
2.7290,0.1521,1.3100,-2.8556,3.145
2.7490,0.4495,1.6669,-1.9993,2.642
2.7690,1.0849,1.3668,-0.1741,1.754
2.7870,1.3614,1.2711,0.5490,1.942
2.8070,1.1295,1.1421,0.3944,1.654
2.8490,0.5902,1.1023,-0.4360,1.324
2.8490,0.2979,1.2673,-0.7338,1.494
2.8640,0.1542,1.6502,-0.1983,1.669
2.8840,0.1511,1.8822,0.8550,2.073
2.9040,0.6063,2.2436,2.7833,3.626
2.9230,0.2270,2.4463,3.3554,4.159
2.9430,0.3676,2.0707,2.0680,2.949
2.9820,0.1961,2.2433,1.1306,2.520
2.9820,0.1749,2.1611,1.3205,2.539
3.0010,0.2783,1.8127,2.7283,3.287
3.0200,0.6524,1.4442,2.9786,3.374
3.0400,0.3647,1.0806,2.0361,2.334
3.0590,0.0363,0.7845,0.8844,1.183
3.0790,0.2190,0.3631,0.3311,0.538
3.1200,-0.2572,-0.5619,-0.7529,0.974
3.1200,-0.7801,-0.7823,-1.9271,2.221
3.1370,-1.3689,-0.8119,-1.9358,2.506
3.1570,-1.7951,-1.8380,-2.1192,3.330
3.1750,-1.6616,-2.4351,-1.8486,3.480
3.1950,-1.6813,-2.5474,-0.8098,3.158
3.2150,-1.8211,-2.1395,-0.1697,2.815
3.2450,-1.7391,-2.1001,0.2317,2.737
