time,ax,ay,az,aT
2.3620,-4.1272,-1.1599,-4.4345,6.168
2.3810,-4.6637,-1.7216,-4.6611,6.815
2.4010,-4.2236,-2.1848,-4.6434,6.646
2.4220,-3.2779,-2.2166,-4.3346,5.869
2.4570,-2.6012,-1.7598,-4.3172,5.339
2.4620,-2.2363,-1.0193,-4.1372,4.812
2.4780,-2.3032,-0.0917,-3.4909,4.183
2.4980,-1.5875,-0.0987,-1.2967,2.052
2.5170,-0.9778,-0.8353,0.9335,1.589
2.5360,-0.4330,-1.9977,2.2245,3.021
2.5570,-0.4249,-2.3963,1.8724,3.071
2.5930,-0.1912,-1.8809,0.6993,2.016
2.5940,0.3143,-1.2672,0.5913,1.433
2.6140,0.7636,-0.9224,1.2488,1.730
2.6340,1.0482,-0.9101,2.4819,2.844
2.6540,1.3490,-0.9490,3.7521,4.099
2.6720,1.5661,-1.0904,4.6271,5.005
2.6920,1.9787,-1.5767,4.7822,5.410
2.7300,1.7131,-1.5167,4.0006,4.609
2.7310,1.1670,-1.3900,3.0789,3.574
2.7490,1.0033,-1.6048,2.6119,3.226
2.7690,0.7780,-1.6791,2.6392,3.223
2.7900,0.7272,-1.7110,2.5811,3.181
2.8080,0.5729,-1.7325,1.9769,2.690
2.8280,0.2709,-1.9412,1.0377,2.218
2.8620,-0.3977,-1.8946,-0.7685,2.083
2.8680,-1.1106,-1.6651,-3.5104,4.041
2.8850,-1.5007,-1.0085,-5.3571,5.654
2.9050,-1.3699,-0.6043,-4.7264,4.958
2.9240,-0.7023,-1.2329,-3.3029,3.595
2.9440,-0.9851,-1.6169,-5.1909,5.525
2.9630,-2.3235,-0.5199,-8.4797,8.808
2.9970,-3.0062,0.4502,-8.5660,9.089
3.0020,-2.3725,0.4939,-5.2716,5.802
3.0210,-1.3654,-0.0088,-2.1478,2.545
3.0410,-1.2006,-0.3454,-0.3671,1.302
3.0600,-0.8915,-0.5415,0.5021,1.158
3.0810,-0.6132,-0.4390,0.8949,1.170
3.1000,-0.4223,-0.5471,1.8027,1.931
3.1360,-0.1610,-0.2519,2.5666,2.584
3.1380,-0.0279,-0.0709,3.8429,3.844
3.1560,0.2944,0.0093,4.6508,4.660
3.1760,0.2956,0.0534,5.3781,5.387
3.1960,0.3719,-0.0797,5.3763,5.390
3.2150,0.1646,-0.1710,4.9646,4.970
3.2350,-0.0504,-0.3644,5.0056,5.019
3.2630,-0.2693,-0.4698,4.8868,4.917
3.2730,-0.5828,-0.4747,4.4448,4.508
3.2920,-1.2181,-0.3974,3.2117,3.458
3.3130,-1.9509,-0.5911,1.3101,2.423
3.3310,-2.5437,-0.5034,-0.9960,2.778
3.3510,-3.0388,-0.1594,-2.7292,4.088
3.3710,-3.2431,-0.5911,-3.0658,4.502
3.4010,-3.6789,-1.0274,-3.0846,4.910
3.4090,-3.8506,-1.2532,-3.5674,5.397
3.4290,-4.0045,-1.4657,-4.6066,6.277
3.4480,-3.7573,-1.7950,-5.3789,6.802
3.4680,-3.0439,-1.7441,-5.6821,6.678
3.4900,-2.3912,-1.0409,-5.4012,5.998
3.5350,-1.9783,-0.3144,-4.1095,4.572
3.5360,-1.6322,-0.3223,-1.4626,2.215
3.5450,-1.2501,-1.0238,1.2542,2.045
3.5640,-0.8424,-1.6568,2.6735,3.256
3.5840,-0.5836,-1.6644,2.7043,3.229
3.6030,-0.1558,-1.2817,2.3667,2.696
3.6230,0.2787,-0.7540,2.4682,2.596
3.6420,0.6708,-0.2317,3.1173,3.197
3.6770,0.9068,0.1305,3.5429,3.659
3.6800,0.8495,0.2727,3.7713,3.875
3.7000,0.7903,0.1546,3.5379,3.628
3.7200,0.7876,-0.0118,3.4662,3.555
3.7390,0.7571,-0.0509,3.8114,3.886
3.7600,0.6983,-0.1414,4.4414,4.498
3.7780,0.6006,-0.5045,4.8982,4.961
3.8120,0.4947,-0.6943,4.7748,4.850
3.8160,0.3733,-0.6855,4.2927,4.363
3.8350,0.2582,-0.7711,3.7696,3.856
3.8550,0.1620,-1.0180,3.1956,3.358
3.8740,0.1046,-1.5271,1.2340,1.966
3.8970,-0.3044,-1.7479,-0.5736,1.865
3.9200,-0.5086,-1.6943,-2.8568,3.360
3.9550,-0.6189,-1.5202,-4.9944,5.257
3.9550,-1.0194,-1.2486,-6.6358,6.829
3.9710,-0.7475,-1.3702,-6.5693,6.752
3.9910,-0.3844,-1.7478,-5.2339,5.531
4.0100,-0.1681,-1.9650,-4.6022,5.007
4.0300,-0.5218,-1.8556,-6.1070,6.404
4.0640,-1.2694,-1.2641,-8.1354,8.330
4.0690,-2.0821,-0.3157,-7.3286,7.625
4.0880,-1.1394,-0.4803,-3.4043,3.622
4.1070,-0.2216,-1.2879,0.4475,1.381
4.1280,0.2725,-1.5402,2.1466,2.656
4.1460,0.2874,-1.3389,2.3263,2.699
4.1670,0.0817,-0.8194,2.0365,2.197
4.2080,0.0511,-0.3093,1.9979,2.022
4.2080,0.1271,0.2154,2.3299,2.343
4.2230,0.2400,0.7094,2.8761,2.972
4.2430,0.1460,0.9664,3.4079,3.545
4.2630,0.1345,0.8120,4.0822,4.164
4.2820,0.2698,0.4386,4.6483,4.677
4.3020,0.1310,0.3579,4.6845,4.700
4.3400,0.1019,0.1841,4.9436,4.948
4.3410,0.1451,-0.0083,5.2268,5.229
4.3600,0.2277,-0.1667,5.1399,5.148
4.3790,-0.0982,-0.3442,4.1900,4.205
4.3990,-0.4746,-0.4949,2.7158,2.801
4.4190,-0.9583,-0.7964,0.6652,1.412
4.4380,-1.6418,-0.7355,-1.3073,2.224
4.4770,-1.9895,-0.8825,-2.6861,3.457
4.4770,-1.8936,-1.2614,-3.2928,4.002
4.4950,-2.2352,-1.5182,-4.4510,5.207
4.5140,-2.8522,-1.6528,-5.6573,6.548
4.5340,-3.0911,-1.5936,-6.3358,7.228
4.5530,-2.3027,-1.3836,-5.4990,6.120
4.5730,-1.2800,-1.2850,-4.2884,4.656
4.6120,-0.9269,-0.9478,-4.0794,4.289
4.6130,-1.5541,-0.4391,-4.1694,4.471
4.6300,-2.0416,-0.2293,-3.1087,3.726
4.6500,-2.2611,-0.4749,-0.8123,2.449
4.6690,-2.0339,-1.3032,1.1389,2.671
4.6900,-1.7546,-1.6139,2.0003,3.112
4.7280,-1.4098,-0.8858,1.8630,2.499
4.7330,-1.0658,-0.0519,1.9792,2.249
4.7470,-0.6584,0.4859,2.4845,2.616
4.7670,-0.1791,0.6316,3.0608,3.130
4.7870,0.1671,0.6746,3.1678,3.243
4.8280,0.3005,0.9516,3.2078,3.359
4.8290,0.6851,0.9189,3.6742,3.849
4.8440,0.9043,0.9316,4.0149,4.220
4.8640,1.0883,0.7668,4.3502,4.549
4.8850,1.2209,0.5754,4.3049,4.511
4.9040,1.0306,0.4170,3.7069,3.870
4.9220,0.8998,-0.0172,3.2081,3.332
4.9590,0.7252,-0.3447,2.9667,3.073
4.9630,0.6487,-0.4102,2.7525,2.857
4.9790,0.5192,-0.4743,2.3056,2.410
4.9990,0.2701,-0.5771,1.6184,1.739
5.0200,0.2300,-0.7128,0.7871,1.087
5.0400,0.0626,-0.8985,-0.1490,0.913
5.0590,-0.5129,-1.2058,-1.6403,2.099
5.0990,-1.0995,-1.3274,-3.5090,3.909
5.1000,-1.3573,-1.2257,-5.2831,5.591
5.1150,-1.6722,-0.6906,-5.9810,6.249
5.1350,-1.0017,-0.6343,-4.4940,4.648
5.1550,-0.6784,-1.1156,-3.0729,3.339
5.1740,-0.8652,-1.8915,-4.5595,5.012
5.1930,-1.9599,-1.3238,-8.4843,8.808
5.2130,-3.2466,0.2522,-10.3491,10.849
5.2490,-3.0458,1.3375,-6.8490,7.614
5.2510,-1.2758,0.0582,-1.3072,1.828
5.2700,-0.6176,-1.1479,1.8607,2.272
5.2900,-0.5376,-1.6022,1.7289,2.418
5.3110,-1.1975,-1.4019,0.7814,2.002
5.3290,-0.9592,-0.9766,0.7173,1.545
5.3510,-0.6026,-0.3228,1.8868,2.007
5.3820,0.1354,0.2876,3.0136,3.030
5.3870,0.1544,1.2580,4.3801,4.560
5.4060,-0.1504,1.9784,4.5122,4.929
5.4260,-0.5995,1.8665,4.3981,4.815
5.4460,-0.4364,1.2180,4.5737,4.753
5.4640,-0.4462,0.9567,5.5099,5.610
5.4850,-0.4980,1.0342,5.8513,5.963
5.5180,-0.3840,1.0255,5.7946,5.897
